"","year","ccode","worldbank","country","iso2c","un","scode","wbregion","iso3c","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","bdeadbest","INGO_uia","domestic9","rt_code","nyt","amnesty.uas","region","muslim","nyt.lagged"
"59",1980,433,"SEN","Senegal","SN",686,"SEN","Western Africa","SEN",-2,-2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,629.078958071844,584.306713842547,5568908,NA,1,8,0.0005282,0,215,0,"SEN",0,NA,"Africa",92,NA
"60",1980,434,"BEN","Benin","BJ",204,"BEN","Western Africa","BEN",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,377.956636047054,369.598003219134,3718024,3,2,4,0.0002661,0,104,0,"BEN",0,NA,"Africa",15,NA
"61",1980,435,"MRT","Mauritania","MR",478,"MAA","Western Africa","MRT",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,462.174899314194,974.885035563952,1534141,3,2,8,0.0001495,0,46,1875,"MRT",0,NA,"Africa",100,NA
"62",1980,436,"NER","Niger","NE",562,"NIR","Western Africa","NER",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,429.965389848899,462.341678977515,5834248,NA,2,3,0.0002854,0,67,0,"NER",0,NA,"Africa",80,NA
"63",1980,437,"CIV","Ivory Coast","CI",384,"IVO","Western Africa","CIV",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,1231.08792762867,1231.07993360238,8265549,2,1,6,0.0007461,0,NA,0,"CIV",0,NA,"Africa",60,NA
"64",1980,438,"GIN","Guinea","GN",324,"GUI","Western Africa","GIN",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.679953250496,4495479,3,3,28,0.000507,0,31,1875,"GIN",0,NA,"Africa",85,NA
"65",1980,439,"BFA","Burkina Faso","BF",854,"BFO","Western Africa","BFA",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,282.685785439272,283.337384872667,6822840,NA,2,5,0.0003669,0,87,NA,"BFA",0,NA,"Africa",50,NA
"66",1980,450,"LBR","Liberia","LR",430,"LBR","Western Africa","LBR",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,451.623993080159,404.324285651633,1892529,3,3,7,0.0002051,27,116,4750,"LBR",0,NA,"Africa",20,NA
"67",1980,451,"SLE","Sierra Leone","SL",694,"SIE","Western Africa","SLE",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,346.101839392737,419.141487306439,3180237,NA,2,2,0.0002063,0,146,0,"SLE",0,NA,"Africa",60,NA
"68",1980,452,"GHA","Ghana","GH",288,"GHA","Western Africa","GHA",6,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,411.500050169284,481.785390692957,10802497,3,1,14,0.0009006,0,269,0,"GHA",0,NA,"Africa",30,NA
